prediction,target
1,1
1,1
0,0
0,0
1,1
1,1
1,1
1,0
1,1
1,1
1,1
1,1
1,1
1,1
0,0
1,1
0,0
1,0
1,1
1,1
0,0
1,1
0,0
1,1
0,0
1,1
1,1
1,1
0,0
1,1
1,1
1,1
1,1
1,1
1,1
0,0
0,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0,0
1,1
0,0
1,1
1,1
0,1
0,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
1,1
0,0
1,1
1,1
0,0
1,1
0,0
1,1
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,1
1,1
0,0
1,1
0,0
0,0
1,1
1,1
1,0
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
0,0
1,1
0,0

Metric logloss = ,1.7622151057579005

logloss,auc,f1,accuracy,precision,recall,mcc
0.704873936630131,0.9280211844005778,0.9635036496350364,0.9489795918367347,0.9428571428571428,0.9850746268656716,0.8812222876605084
,,0.0,0.0,0.0,0.0,0.0
